name,year,set,card_number,player,sport,parallel,grade,grader,condition,quantity,acquired_price,image_url,notes,scp_id,collx_id,collx_market_value,collx_asking_price
2024 Panini Select - Select Numbers Brock Bowers #12,2024,2024 Panini Select - Select Numbers,12,Brock Bowers,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078536765891794944-1-92gt.jpg,,,1078536765891794944,0.99,
2024 Panini Select Joe Burrow #39,2024,2024 Panini Select,39,Joe Burrow,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078533851949422592-1-qXP.jpg,,,1078533851949422592,1.24,
2024 Panini Select Joe Alt #82 (RC),2024,2024 Panini Select,82,Joe Alt,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078533866495268864-1-fX9s.jpg,,,1078533866495268864,0.62,
2024 Panini Select Theo Johnson #96,2024,2024 Panini Select,96,Theo Johnson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078533893875685376-1-GuTM.jpg,,,1078533893875685376,0.80,
2024 Panini Select Earl Campbell #54,2024,2024 Panini Select,54,Earl Campbell,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078533918873737216-1-pg5Y.jpg,,,1078533918873737216,0.67,
2024 Panini Select Brett Favre #12,2024,2024 Panini Select,12,Brett Favre,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078533931297265664-1-zqxj.jpg,,,1078533931297265664,0.75,
2024 Panini Select - Silver Prizm Die Cut Chase Brown #18,2024,2024 Panini Select - Silver Prizm Die Cut,18,Chase Brown,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078533953082480640-1-osVa.jpg,,,1078533953082480640,1.00,
2024 Panini Select - Red & Yellow Prizm Shock Sam Darnold #92,2024,2024 Panini Select - Red & Yellow Prizm Shock,92,Sam Darnold,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078534041297082368-1-A9vd.jpg,,,1078534041297082368,1.61,
2024 Panini Select - Red & Yellow Prizm Shock Xavier Worthy #32 (RC),2024,2024 Panini Select - Red & Yellow Prizm Shock,32,Xavier Worthy,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078534083131070464-1-IQnu.jpg,,,1078534083131070464,0.99,
2024 Panini Select - Red & Yellow Prizm Shock Trey Hendrickson #298,2024,2024 Panini Select - Red & Yellow Prizm Shock,298,Trey Hendrickson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078534137044654080-1-hFWW.jpg,,,1078534137044654080,1.49,
2024 Panini Select - Select Certified Rookies Prizm Marvin Harrison Jr. #5,2024,2024 Panini Select - Select Certified Rookies Prizm,5,Marvin Harrison Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078534158804703232-1-ESSg.jpg,,,1078534158804703232,5.24,
2024 Panini Select - Select Future Jaxon Smith-Njigba #24,2024,2024 Panini Select - Select Future,24,Jaxon Smith-Njigba,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078534224529446912-1-oTOJ.jpg,,,1078534224529446912,1.00,
2024 Panini Select - Turbocharged Josh Allen #18,2024,2024 Panini Select - Turbocharged,18,Josh Allen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078534263821686784-1-oMPs.jpg,,,1078534263821686784,1.12,
2025 Score Matthew Golden #56 (RC),2025,2025 Score,56,Matthew Golden,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078499914946566144-1-s3o.jpg,,,1078499914946566144,13.50,
2024 Panini Select - Select Certified Rookies Michael Penix Jr. #9,2024,2024 Panini Select - Select Certified Rookies,9,Michael Penix Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078499943643994112-1-DEim.jpg,,,1078499943643994112,0.99,
2024 Panini Select - Turbocharged Rome Odunze #22,2024,2024 Panini Select - Turbocharged,22,Rome Odunze,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078499956193351680-1-uGs0.jpg,,,1078499956193351680,1.06,
2024 Panini Select - Select Numbers Jaylen Waddle #21,2024,2024 Panini Select - Select Numbers,21,Jaylen Waddle,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078499970865027072-1-5evX.jpg,,,1078499970865027072,0.99,
2025 Panini Phoenix Trevor Etienne #183 (RC),2025,2025 Panini Phoenix,183,Trevor Etienne,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078500026229839872-1-LSh3.jpg,,,1078500026229839872,0.62,
2025 Panini Select Travis Hunter #228 (RC),2025,2025 Panini Select,228,Travis Hunter,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078500065765349376-1-8WAP.jpg,,,1078500065765349376,0.99,
2025 Panini Select Joe Burrow #57,2025,2025 Panini Select,57,Joe Burrow,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078500081041004544-1-myXu.jpg,,,1078500081041004544,1.79,
2024 Panini Select - Silver Prizm Kaiir Elam #8,2024,2024 Panini Select - Silver Prizm,8,Kaiir Elam,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078500106106165248-1-oQpY.jpg,,,1078500106106165248,1.00,
2025 Panini Select Matthew Golden #66 (RC),2025,2025 Panini Select,66,Matthew Golden,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078500176855685120-1-PfZf.jpg,,,1078500176855685120,1.25,
2025 Panini Select Ashton Jeanty #204,2025,2025 Panini Select,204,Ashton Jeanty,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078500237329160192-1-OjA.jpg,,,1078500237329160192,1.69,
2025 Panini Phoenix Josh Allen #129,2025,2025 Panini Phoenix,129,Josh Allen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078500304001816576-1-QKrY.jpg,,,1078500304001816576,1.49,
2024 Panini Select - Silver Prizm Die Cut Marvin Harrison Jr. #115 (RC),2024,2024 Panini Select - Silver Prizm Die Cut,115,Marvin Harrison Jr.,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078500327557027840-1-h10n.jpg,,,1078500327557027840,1.32,
2024 Panini Select Adam Thielen #202,2024,2024 Panini Select,202,Adam Thielen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078493897999374336-1-xR2U.jpg,,,1078493897999374336,1.79,
2024 Panini Select - Select Certified Rookies Bo Nix #4,2024,2024 Panini Select - Select Certified Rookies,4,Bo Nix,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078493947903203328-1-WWva.jpg,,,1078493947903203328,1.49,
2024 Panini Select - Turbocharged Dak Prescott #17,2024,2024 Panini Select - Turbocharged,17,Dak Prescott,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078494007445542912-1-3lBT.jpg,,,1078494007445542912,0.99,
2024 Panini Select Travon Walker #197,2024,2024 Panini Select,197,Travon Walker,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078494036512069632-1-UjJf.jpg,,,1078494036512069632,0.90,
2024 Panini Select Rachaad White #88,2024,2024 Panini Select,88,Rachaad White,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078494083664435200-1-uYKW.jpg,,,1078494083664435200,0.99,
2024 Panini Select Justin Fields #74,2024,2024 Panini Select,74,Justin Fields,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078494109467793408-1-2Fh6.jpg,,,1078494109467793408,0.84,
2024 Panini Select Brock Bowers #31 (RC),2024,2024 Panini Select,31,Brock Bowers,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078494132570019840-1-2QVy.jpg,,,1078494132570019840,1.75,
2024 Panini Select Cedric Tillman #17,2024,2024 Panini Select,17,Cedric Tillman,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078494159203850240-1-JRCj.jpg,,,1078494159203850240,0.28,
2024 Panini Select Travon Walker #197,2024,2024 Panini Select,197,Travon Walker,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078477331731699712-1-WEp.jpg,,,1078477331731699712,0.90,
2024 Panini Select Adam Thielen #202,2024,2024 Panini Select,202,Adam Thielen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078477396047157248-1-Wpfq.jpg,,,1078477396047157248,1.79,
2024 Panini Select - Select Numbers Lamar Jackson #11,2024,2024 Panini Select - Select Numbers,11,Lamar Jackson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078477679473055744-1-aKdV.jpg,,,1078477679473055744,1.25,
2024 Panini Select - Turbocharged Dak Prescott #17,2024,2024 Panini Select - Turbocharged,17,Dak Prescott,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078477727556556800-1-X5v.jpg,,,1078477727556556800,0.99,
2024 Panini Select - Select Future Braelon Allen #23,2024,2024 Panini Select - Select Future,23,Braelon Allen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078477793491015680-1-sq3R.jpg,,,1078477793491015680,1.00,
2024 Panini Select - Select Certified Rookies Bo Nix #4,2024,2024 Panini Select - Select Certified Rookies,4,Bo Nix,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078477820452001792-1-wjVh.jpg,,,1078477820452001792,1.49,
2024 Panini Select - Red & Yellow Prizm Shock Mike Evans #283,2024,2024 Panini Select - Red & Yellow Prizm Shock,283,Mike Evans,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078477985162319872-1-ELof.jpg,,,1078477985162319872,1.29,
2021 Panini Select - Red and Yellow Prizm Die Cut Aaron Jones #214,2021,2021 Panini Select - Red and Yellow Prizm Die Cut,214,Aaron Jones,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078478047003138048-1-sNoG.jpg,,,1078478047003138048,0.99,
2024 Panini Select Rachaad White #88,2024,2024 Panini Select,88,Rachaad White,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078478106092492800-1-JABG.jpg,,,1078478106092492800,0.99,
2024 Panini Select Talanoa Hufanga #46,2024,2024 Panini Select,46,Talanoa Hufanga,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078478121737246720-1-6eiI.jpg,,,1078478121737246720,0.99,
2024 Panini Select Amari Cooper #5,2024,2024 Panini Select,5,Amari Cooper,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078478144252270592-1-NO1s.jpg,,,1078478144252270592,0.11,
2024 Panini Select - Red & Yellow Prizm Shock Josh Allen #34,2024,2024 Panini Select - Red & Yellow Prizm Shock,34,Josh Allen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078478196823676928-1-kV8.jpg,,,1078478196823676928,1.89,
2025 Panini Phoenix - Silver Hyper Prizm Calen Bullock #114,2025,2025 Panini Phoenix - Silver Hyper Prizm,114,Calen Bullock,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078459906755778560-1-67bY.jpg,,,1078459906755778560,,
2025 Panini Phoenix Jaxson Dart #200 (RC),2025,2025 Panini Phoenix,200,Jaxson Dart,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078459945821526016-1-k2F.jpg,,,1078459945821526016,3.00,
2025 Panini Phoenix - Silver Hyper Prizm Chase Brown #92,2025,2025 Panini Phoenix - Silver Hyper Prizm,92,Chase Brown,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078459967766124544-1-93HN.jpg,,,1078459967766124544,1.99,
2025 Panini Phoenix - Silver Hyper Prizm Tyler Shough #169 (RC),2025,2025 Panini Phoenix - Silver Hyper Prizm,169,Tyler Shough,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078460005774907392-1-DFno.jpg,,,1078460005774907392,3.75,
2024 Panini Select - Silver Prizm Michael Penix Jr. #110 (RC),2024,2024 Panini Select - Silver Prizm,110,Michael Penix Jr.,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078453610425997312-1-PihV.jpg,,,1078453610425997312,1.52,
2024 Panini Select Dak Prescott #229,2024,2024 Panini Select,229,Dak Prescott,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078453667107821568-1-2T3.jpg,,,1078453667107821568,1.59,
2024 Panini Select - Select Numbers Dak Prescott #14,2024,2024 Panini Select - Select Numbers,14,Dak Prescott,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078453688742041600-1-jbQW.jpg,,,1078453688742041600,0.99,
2024 Panini Select Lavonte David #79,2024,2024 Panini Select,79,Lavonte David,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448259601389568-1-4Bkq.jpg,,,1078448259601389568,0.99,
2024 Panini Select Jared Goff #36,2024,2024 Panini Select,36,Jared Goff,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448285564131328-1-KWvX.jpg,,,1078448285564131328,0.95,
"2024 Panini Select Ahmad ""Sauce"" Gardner #93",2024,2024 Panini Select,93,"Ahmad ""Sauce"" Gardner",Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448309446498304-1-emEF.jpg,,,1078448309446498304,0.56,
2024 Panini Select Chase Brown #18,2024,2024 Panini Select,18,Chase Brown,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448366631639040-1-2N9t.jpg,,,1078448366631639040,0.35,
2024 Panini Select Kareem Hunt #75,2024,2024 Panini Select,75,Kareem Hunt,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448381932460032-1-cPrj.jpg,,,1078448381932460032,0.50,
2024 Panini Select - Silver Prizm Die Cut Xavier Legette #101 (RC),2024,2024 Panini Select - Silver Prizm Die Cut,101,Xavier Legette,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448404665587712-1-g8Er.jpg,,,1078448404665587712,1.00,
2024 Panini Select - Red & Yellow Prizm Shock Tariq Woolen #95,2024,2024 Panini Select - Red & Yellow Prizm Shock,95,Tariq Woolen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448462261770240-1-8Rds.jpg,,,1078448462261770240,0.85,
2024 Panini Select - Red & Yellow Prizm Shock Pat Freiermuth #186,2024,2024 Panini Select - Red & Yellow Prizm Shock,186,Pat Freiermuth,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448546701498368-1-tpMK.jpg,,,1078448546701498368,0.99,
2024 Panini Select - Turbocharged Cooper Kupp #20,2024,2024 Panini Select - Turbocharged,20,Cooper Kupp,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448592897562624-1-Pzjd.jpg,,,1078448592897562624,0.99,
2024 Panini Select - Select Future Prizm Keon Coleman #1,2024,2024 Panini Select - Select Future Prizm,1,Keon Coleman,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448668000770048-1-35x2.jpg,,,1078448668000770048,,
2024 Panini Select - Select Certified Rookies Brock Bowers #7,2024,2024 Panini Select - Select Certified Rookies,7,Brock Bowers,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448714280720384-1-NIT.jpg,,,1078448714280720384,1.00,
2024 Panini Select - Red & Yellow Prizm Shock Xavier Rhodes #201,2024,2024 Panini Select - Red & Yellow Prizm Shock,201,Xavier Rhodes,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078448759637923840-1-bx0N.jpg,,,1078448759637923840,1.19,
2024 Panini Select Aaron Rodgers #126,2024,2024 Panini Select,126,Aaron Rodgers,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078447516312000512-1-ukaj.jpg,,,1078447516312000512,1.25,
2024 Panini Select - Silver Prizm Jaylen Waddle #168,2024,2024 Panini Select - Silver Prizm,168,Jaylen Waddle,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078447537862334464-1-dZQo.jpg,,,1078447537862334464,1.00,
2024 Panini Select Patrick Queen #286,2024,2024 Panini Select,286,Patrick Queen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078447562617116672-1-hKIA.jpg,,,1078447562617116672,1.34,
2024 Panini Select Xavier Worthy #32 (RC),2024,2024 Panini Select,32,Xavier Worthy,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078444760201287680-1-Gkbx.jpg,,,1078444760201287680,0.90,
2024 Panini Select Rasul Douglas #89,2024,2024 Panini Select,89,Rasul Douglas,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078444781516740608-1-wt9P.jpg,,,1078444781516740608,0.50,
2024 Panini Select DeMarcus Lawrence #47,2024,2024 Panini Select,47,DeMarcus Lawrence,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078444848566884352-1-M8ow.jpg,,,1078444848566884352,0.35,
2024 Panini Select - Silver Prizm Amari Cooper #5,2024,2024 Panini Select - Silver Prizm,5,Amari Cooper,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078444883010508800-1-Yq9u.jpg,,,1078444883010508800,2.49,
2024 Panini Select - Silver Prizm Die Cut DeMarcus Lawrence #47,2024,2024 Panini Select - Silver Prizm Die Cut,47,DeMarcus Lawrence,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078445018536859648-1-xSyx.jpg,,,1078445018536859648,0.99,
2024 Panini Select - Red & Yellow Prizm Shock Drew Bledsoe #53,2024,2024 Panini Select - Red & Yellow Prizm Shock,53,Drew Bledsoe,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078445043727849472-1-hXLV.jpg,,,1078445043727849472,0.99,
2024 Panini Select - Red & Yellow Prizm Shock Darnell Savage Jr. #144,2024,2024 Panini Select - Red & Yellow Prizm Shock,144,Darnell Savage Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078445103765116928-1-4tcr.jpg,,,1078445103765116928,1.79,
2024 Panini Select - Red & Yellow Prizm Shock Brandon Aiyuk #210,2024,2024 Panini Select - Red & Yellow Prizm Shock,210,Brandon Aiyuk,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078445134006048768-1-0knL.jpg,,,1078445134006048768,0.99,
2024 Panini Select - Select Numbers Jaylen Waddle #21,2024,2024 Panini Select - Select Numbers,21,Jaylen Waddle,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078445177895245824-1-6jw3.jpg,,,1078445177895245824,0.99,
2024 Panini Select - Turbocharged Malik Nabers #15,2024,2024 Panini Select - Turbocharged,15,Malik Nabers,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078445216482842624-1-qtnP.jpg,,,1078445216482842624,1.25,
2024 Panini Select Ricky Pearsall #173 (RC),2024,2024 Panini Select,173,Ricky Pearsall,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078445284984215552-1-3efT.jpg,,,1078445284984215552,1.60,
2024 Panini Select - Select Certified Rookies Prizm Jayden Daniels #2,2024,2024 Panini Select - Select Certified Rookies Prizm,2,Jayden Daniels,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078445325492803584-1-vjUH.jpg,,,1078445325492803584,1.50,
2024 Panini Select - Select Numbers Marvin Harrison Jr. #4,2024,2024 Panini Select - Select Numbers,4,Marvin Harrison Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078441669393504256-1-bRiD.jpg,,,1078441669393504256,1.09,
2024 Panini Select Calvin Hill #215,2024,2024 Panini Select,215,Calvin Hill,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078441694399944704-1-YaGx.jpg,,,1078441694399944704,1.00,
2024 Panini Select Braden Fiske #171 (RC),2024,2024 Panini Select,171,Braden Fiske,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078441771659024384-1-aq8V.jpg,,,1078441771659024384,1.45,
2024 Panini Select - Red & Yellow Prizm Shock Jared Goff #228,2024,2024 Panini Select - Red & Yellow Prizm Shock,228,Jared Goff,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078439771101845504-1-M0im.jpg,,,1078439771101845504,1.43,
2024 Panini Select - Select Certified Rookies Ray Davis #22,2024,2024 Panini Select - Select Certified Rookies,22,Ray Davis,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078439782720067584-1-8oJp.jpg,,,1078439782720067584,1.01,
2024 Panini Select - Select Future Michael Penix Jr. #16,2024,2024 Panini Select - Select Future,16,Michael Penix Jr.,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078439868183205888-1-T2Bg.jpg,,,1078439868183205888,0.99,
2024 Panini Select - Turbocharged C.J. Stroud #10,2024,2024 Panini Select - Turbocharged,10,C.J. Stroud,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078439934017001472-1-Ac65.jpg,,,1078439934017001472,1.15,
2024 Panini Select - Red & Yellow Prizm Shock Marvin Harrison Jr. #115 (RC),2024,2024 Panini Select - Red & Yellow Prizm Shock,115,Marvin Harrison Jr.,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078439974676584448-1-3ht3.jpg,,,1078439974676584448,1.39,
2024 Panini Select - Red & Yellow Prizm Shock J.J. McCarthy #246 (RC),2024,2024 Panini Select - Red & Yellow Prizm Shock,246,J.J. McCarthy,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078440050266331136-1-SV6.jpg,,,1078440050266331136,2.00,
2024 Panini Select - Silver Prizm Xavier Worthy #32 (RC),2024,2024 Panini Select - Silver Prizm,32,Xavier Worthy,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078440063973316608-1-MCz.jpg,,,1078440063973316608,1.25,
2024 Panini Select Brock Purdy #37,2024,2024 Panini Select,37,Brock Purdy,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078440078720489472-1-FNZt.jpg,,,1078440078720489472,0.99,
2024 Panini Select Antonio Gibson #7,2024,2024 Panini Select,7,Antonio Gibson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078440101017409536-1-Nf4X.jpg,,,1078440101017409536,0.13,
2024 Panini Select Curtis Samuel #23,2024,2024 Panini Select,23,Curtis Samuel,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078440116536334336-1-1G7T.jpg,,,1078440116536334336,0.16,
2024 Panini Select Jalen Carter #65,2024,2024 Panini Select,65,Jalen Carter,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078440139462400000-1-eKON.jpg,,,1078440139462400000,1.79,
2024 Panini Select - Silver Prizm Michael Penix Jr. #80 (RC),2024,2024 Panini Select - Silver Prizm,80,Michael Penix Jr.,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078440153270048768-1-FOsd.jpg,,,1078440153270048768,1.04,
2024 Panini Select - Select Numbers Patrick Mahomes II #9,2024,2024 Panini Select - Select Numbers,9,Patrick Mahomes II,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078438699020965888-1-UvAD.jpg,,,1078438699020965888,1.25,
2024 Panini Select Evan McPherson #156,2024,2024 Panini Select,156,Evan McPherson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078438772823939072-1-3JRj.jpg,,,1078438772823939072,0.99,
2024 Panini Select Caleb Williams #114 (RC),2024,2024 Panini Select,114,Caleb Williams,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078438795699673088-1-GbB.jpg,,,1078438795699673088,2.25,
2013 Panini Select Drew Bledsoe #120,2013,2013 Panini Select,120,Drew Bledsoe,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078435915185903616-1-5UV.jpg,,,1078435915185903616,0.76,
2024 Panini Select - Black & Red Prizm Shock J.C. Latham #11 (RC),2024,2024 Panini Select - Black & Red Prizm Shock,11,J.C. Latham,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078435928230189056-1-xksL.jpg,,,1078435928230189056,1.10,
2024 Panini Select Josh Allen #34,2024,2024 Panini Select,34,Josh Allen,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078435958118799360-1-GCFP.jpg,,,1078435958118799360,2.00,
2024 Panini Select Brian Thomas Jr. #91 (RC),2024,2024 Panini Select,91,Brian Thomas Jr.,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436013793990656-1-z7JH.jpg,,,1078436013793990656,1.22,
2024 Panini Select - Red & Yellow Prizm Shock Fred Warner #157,2024,2024 Panini Select - Red & Yellow Prizm Shock,157,Fred Warner,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436025378658304-1-74AP.jpg,,,1078436025378658304,1.12,
2024 Panini Select - Red & Yellow Prizm Shock Olumuyiwa Fashanu #66 (RC),2024,2024 Panini Select - Red & Yellow Prizm Shock,66,Olumuyiwa Fashanu,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436047365199872-1-pj9Z.jpg,,,1078436047365199872,0.99,
2024 Panini Select - Silver Prizm Die Cut Camryn Bynum #234,2024,2024 Panini Select - Silver Prizm Die Cut,234,Camryn Bynum,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436105338869760-1-QQn.jpg,,,1078436105338869760,1.09,
2024 Panini Select Cam Little #49 (RC),2024,2024 Panini Select,49,Cam Little,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436117242304512-1-rqh.jpg,,,1078436117242304512,1.39,
2024 Panini Select - Red & Yellow Prizm Shock Jonathan Taylor #271,2024,2024 Panini Select - Red & Yellow Prizm Shock,271,Jonathan Taylor,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436160938563584-1-xl4j.jpg,,,1078436160938563584,1.39,
2024 Panini Select - Select Certified Rookies Laiatu Latu #15,2024,2024 Panini Select - Select Certified Rookies,15,Laiatu Latu,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436174989481984-1-QgBB.jpg,,,1078436174989481984,0.99,
2024 Panini Select - Select Future C.J. Stroud #9,2024,2024 Panini Select - Select Future,9,C.J. Stroud,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436238113757184-1-Qd3C.jpg,,,1078436238113757184,1.50,
2024 Panini Select - Turbocharged Lamar Jackson #3,2024,2024 Panini Select - Turbocharged,3,Lamar Jackson,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078436322402490368-1-JVUV.jpg,,,1078436322402490368,1.01,
2024 Panini Select Gabriel Davis #257,2024,2024 Panini Select,257,Gabriel Davis,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078434278761420800-1-nW63.jpg,,,1078434278761420800,0.01,
2024 Panini Select Bryan Anger #141,2024,2024 Panini Select,141,Bryan Anger,Football,,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078434349972314112-1-gI3O.jpg,,,1078434349972314112,1.89,
2024 Panini Select Trey Benson #198 (RC),2024,2024 Panini Select,198,Trey Benson,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078434406041769984-1-4aRe.jpg,,,1078434406041769984,0.99,
2024 Panini Select J.J. McCarthy #24 (RC),2024,2024 Panini Select,24,J.J. McCarthy,Football,RC,,,Ungraded,1,,https://storage.googleapis.com/collx-product-images/1078432112965441536-1-whI.jpg,,,1078432112965441536,1.20,
